id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
-0lFv3aQ5XI9VdiDwsL2vA,Susan,310,"2012-08-14 00:00:00",15,4,3,12,4.24,1,1,0,0,0,1,3,1,1,1,3
-1MF2tosrw2WcCxeVNk81Q,Anson,150,"2011-11-26 00:00:00",182,18,23,11,3.73,3,0,0,1,0,3,10,8,8,2,6
-24B_nkBG6Et1_QJecnN2A,Kristina,581,"2011-02-22 00:00:00",267,151,103,46,3.88,47,5,5,2,0,21,27,45,45,47,7
-267Yx8RmdP6io2-qI4UcQ,Rachel,214,"2010-07-25 00:00:00",9,12,9,5,4.11,4,7,0,1,1,3,5,11,11,6,1
-2gOxVWcnBr5DclrrsWXCA,Melissa,122,"2011-09-03 00:00:00",89,7,21,7,3.85,3,1,0,0,0,5,7,13,13,3,1
-4KIUdEnJ5-V6tloF_hK8g,Sandy,29,"2010-10-19 00:00:00",13,1,0,2,3.8,0,0,0,0,0,0,0,0,0,0,2
-5BbSBNLmJQ-GGvlFjvqqQ,Stephanie,37,"2011-07-18 00:00:00",58,29,19,0,3.26,0,0,0,0,0,1,0,0,0,0,0
-7-d8x5w5c9QolAMgPTKZg,Daniel,99,"2011-07-08 00:00:00",62,13,35,7,3.6,9,8,1,0,1,9,6,7,7,4,0
-7nbekiMCu5sTMFZh2bwbw,Jessamine,76,"2012-08-08 00:00:00",0,0,0,4,4.07,0,1,0,0,0,3,1,0,0,1,0
-8FvVaGMTkPrTU8LZMutcg,Natalie,61,"2011-03-05 00:00:00",0,0,0,4,4.1,0,1,0,0,0,0,4,0,0,0,0
-8syaSLDbMXW2F2FApVgig,Michele,152,"2012-12-23 00:00:00",93,20,140,10,3.71,65,5,1,0,2,67,104,171,171,50,0
-9AuMSmei2vUKmJb7bAfnQ,Cheryl,31,"2012-06-13 00:00:00",2,0,0,0,3.47,0,0,0,0,0,0,1,0,0,0,0
-9QrNxZ0l0cSbTYXPlsu_g,Anna,43,"2017-04-18 00:00:00",6,1,3,0,3.67,2,0,0,0,0,4,5,7,7,7,6
-9WVpTW5LAEo9y6PbW0-cw,Jessica,403,"2011-06-15 00:00:00",381,14,2,15,3.81,1,2,0,0,0,7,17,7,7,3,1
-A1epn3UwFhAWM-chNRjBg,Nathaniel,39,"2011-03-28 00:00:00",1,3,1,0,3.48,1,0,0,0,0,1,0,1,1,2,0
-A8NWVsLSAQX_XTqt4WPmg,Hector,513,"2009-01-09 00:00:00",77,76,63,53,3.78,59,17,4,2,9,82,137,132,132,63,20
-AvIW-WfrYosf8dKzZ5Lxw,Mel,36,"2010-04-18 00:00:00",153,8,9,2,2.68,0,0,0,0,0,1,2,2,2,0,2
-b2ppVKqxnyCiInru3sccA,MarcCrystal,116,"2015-07-20 00:00:00",295,56,44,2,3.81,1,0,0,0,0,1,1,0,0,0,1
-Bpak3fYEiud08VA0TAsRQ,Jake,29,"2009-08-31 00:00:00",0,0,1,0,3.59,0,0,0,0,0,2,0,0,0,0,0
-Br4X0Nu3gH-vX32RmWZqw,Mark,21,"2010-08-17 00:00:00",0,0,0,3,3.68,0,0,0,0,0,1,0,0,0,1,0
-C-l8EHSLXtZZVfUAUhsPA,Nieves,188,"2013-07-08 00:00:00",1133,813,981,85,3.68,164,6,3,13,0,56,106,190,190,80,82
-cDVjWfTV1ZZP6LBWZNeuA,Qween,123,"2014-11-22 00:00:00",6,0,0,4,3.84,1,0,0,0,0,0,0,3,3,2,2
-cpAPafcna82eeeQjD9JpA,Cynthia,116,"2010-12-01 00:00:00",31,69,23,10,3.53,4,0,1,0,0,3,12,15,15,10,1
-cv9PPT7IHux7XUc9dOpkg,bernice,255,"2007-08-29 00:00:00",124,116,113,106,3.95,176,21,18,26,5,76,181,235,235,49,48
-Cw2rJx6v8gHgWOBXL3SsA,Serene,350,"2011-08-15 00:00:00",8,3,3,9,4.04,0,2,0,0,0,3,10,2,2,1,1
-d0o3YCu6Zu6hHpzNq4dUQ,Dan,174,"2009-09-18 00:00:00",24,1,20,9,4.38,2,0,1,0,0,3,1,3,3,5,0
-D4T2oVxSjvVN9_owkEmyw,Jonelle,346,"2007-09-10 00:00:00",9,11,0,17,3.7,9,2,1,0,0,8,14,17,17,13,8
-edOrcdWGnNLodyAEadUKA,Tisha,274,"2009-01-06 00:00:00",109,15,54,17,3.97,10,4,1,1,0,9,26,17,17,7,2
-eV9o-F_ejw7ov4s4FFVEQ,Tamara,65,"2014-02-09 00:00:00",53,4,37,1,4.19,11,0,0,0,0,2,6,3,3,9,0
-G7qMcK2m40B14tVPg4Kaw,Jonathan,45,"2011-03-27 00:00:00",0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0
-G7Zkl1wIWBBmD0KRy_sCw,Gerald,2150,"2012-12-16 00:00:00",21256,3101,19323,304,3.61,223,64,21,1,0,386,714,783,783,464,316
-G9paVabltYAKlKXD7Xbdg,Lisa,127,"2014-02-23 00:00:00",17,3,3,5,4.27,0,1,0,0,0,0,6,1,1,0,1
-GW0X3pUQx1vMWd_yKMLVA,Bryan,27,"2007-03-12 00:00:00",145,52,130,2,4.51,1,0,0,0,0,1,2,2,2,1,2
-H5SGViN4TRLMvbmrLmE2w,Britt,435,"2009-10-10 00:00:00",381,185,41,14,3.75,4,0,0,0,1,4,8,7,7,1,1
-IA6B9ErDJzXQl2NSBl85Q,Jenny,31,"2016-10-02 00:00:00",8,2,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0
-IpEtHy_0HdVeCKen46NDA,Ami,40,"2011-08-20 00:00:00",2,3,0,3,4.4,1,0,0,0,0,0,0,0,0,0,0
-jpu5KX95HLWJdztLq53uQ,Karin,69,"2012-07-11 00:00:00",39,6,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
-JXdPA9oMdeD0dU83uoOMQ,Paula,201,"2011-08-11 00:00:00",31,1,3,2,3.75,8,1,5,1,0,7,19,10,10,5,1
