id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
--3WaS23LcIXtxyFULJHTA,Kristie,214,"2010-05-02 00:00:00",64,6,4,11,3.91,11,6,0,0,0,5,20,18,18,9,2
--66hzx80CeVZcrm4AKJtQ,Osama,24,"2009-05-29 00:00:00",1,0,0,1,3.38,0,0,0,0,0,0,0,0,0,0,0
--8ELb8W1afbyP21EZStPg,"Mi Sou",20,"2011-10-25 00:00:00",0,0,0,0,4.13,0,0,0,0,0,0,0,1,1,0,0
--G23bgO-XEf0vtTbOwxtg,Matthew,28,"2008-01-03 00:00:00",2,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0
--PJ1FuEoTEo-3Cxf_izRg,Quyen,27,"2013-11-27 00:00:00",1,0,0,3,3.46,0,0,0,0,0,0,0,0,0,0,1
--WLHsm-AC4jcol2gOkmCQ,NewportBeach,65,"2008-01-15 00:00:00",26,4,1,1,3.52,0,0,0,0,0,0,1,1,1,0,0
--ZNfWKj1VyVElRx6-g1fg,Song,372,"2010-07-28 00:00:00",351,51,32,33,3.82,20,3,0,3,0,17,33,19,19,7,2
-00kdEIhCt-ODaV4BS-EAg,Kelly,341,"2011-09-12 00:00:00",0,0,0,6,3.14,0,3,0,0,2,1,4,1,1,1,0
-03-AhuV_ikMWe2GdTllcw,Amanda,35,"2013-03-25 00:00:00",9,0,0,1,3.72,0,1,0,0,0,0,0,1,1,0,0
-0lFv3aQ5XI9VdiDwsL2vA,Susan,310,"2012-08-14 00:00:00",15,4,3,12,4.24,1,1,0,0,0,1,3,1,1,1,3
-0MXmdIs75oSWmp8XlQKIw,Dawn,43,"2012-02-11 00:00:00",20,78,3,0,4.13,0,0,0,0,0,1,0,0,0,1,0
-0tLDaIzN1Gbxc51Bxad4A,Rana,33,"2013-05-14 00:00:00",4,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0
-0zJlwO6jRlVzJMqP8QH8g,Lauri,24,"2009-04-20 00:00:00",8,1,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0
-1Grce7VmCft_uq79JX9Ow,Crystal,31,"2010-04-19 00:00:00",35,3,5,4,3.34,2,0,0,1,0,1,4,1,1,0,0
-1IIpxMrE8sAgrsy515nig,Anh,21,"2012-11-16 00:00:00",37,33,33,3,3.52,1,2,0,0,0,0,5,1,1,0,0
-1M3sFN4ZOCR59-mYJr65A,Ria,58,"2014-08-08 00:00:00",59,8,13,6,3.72,5,1,1,0,0,1,1,4,4,1,2
-21ooEUDqBkCF0hr94Pvgg,Trang,175,"2011-04-25 00:00:00",24,5,5,10,4.03,1,1,0,0,0,5,9,10,10,8,2
-267Yx8RmdP6io2-qI4UcQ,Rachel,214,"2010-07-25 00:00:00",9,12,9,5,4.11,4,7,0,1,1,3,5,11,11,6,1
-2CainXEr63oltxnExHGgg,Randy,121,"2013-01-24 00:00:00",123,41,36,2,4.07,0,4,0,0,0,3,11,2,2,3,0
-2tJ7A886B1OnuSwPXcFRQ,Cliff,136,"2011-11-04 00:00:00",15,18,1,1,3.74,0,0,0,0,0,1,0,1,1,0,0
-2UOdDlzg7XLuUuyOrldhA,Duy,315,"2008-07-19 00:00:00",23,23,3,26,3.7,13,5,0,0,0,5,17,29,29,12,2
-3FYJuyJSunl2l3aNvULLQ,"Da Hee",64,"2010-06-29 00:00:00",22,7,15,8,4.03,3,0,0,0,0,4,1,6,6,4,0
-3s52C4zL_DHRK0ULG6qtg,Sara,1657,"2010-05-16 00:00:00",25,10,2,53,3.42,11,6,1,2,0,19,44,16,16,11,2
-4bCUCxC6NnnUPgp-y6bQg,Meree,126,"2009-09-19 00:00:00",124,14,14,3,3.43,0,0,0,0,0,0,4,0,0,0,0
-4BEUkLvHQntN6qPfKJP2w,Greg,408,"2008-02-16 00:00:00",820,753,746,83,3.67,1004,91,72,80,32,200,1038,1209,1209,333,249
-4CkxA_4u6QIny8LskPBkg,Tina,50,"2008-10-18 00:00:00",30,9,6,1,3.78,0,2,0,0,0,2,1,3,3,4,0
-4u6fATFg1B0kUzSBki4Nw,Michelle,265,"2013-12-06 00:00:00",15,14,15,74,4,9,2,1,1,0,4,13,9,9,7,18
